,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y
0,347.999,343.956,345.968,476.556,215.425,480.527,179.239,677.31,0.0,0.0,486.544,474.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.871,309.755,386.108,313.718,271.639,327.903,416.248,335.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,347.999,343.956,345.968,476.556,215.425,480.527,179.239,677.31,0.0,0.0,486.544,474.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.871,309.755,386.108,313.718,271.639,327.903,416.248,335.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,347.999,343.956,345.968,476.556,215.425,480.527,179.239,677.31,0.0,0.0,486.544,474.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.871,309.755,386.108,313.718,271.639,327.903,416.248,335.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,347.999,343.956,345.968,476.556,215.425,480.527,179.239,677.31,0.0,0.0,486.544,474.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.871,309.755,386.108,313.718,271.639,327.903,416.248,335.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,347.999,343.956,345.968,476.556,215.425,480.527,179.239,677.31,0.0,0.0,486.544,474.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.871,309.755,386.108,313.718,271.639,327.903,416.248,335.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,347.999,343.956,345.968,476.556,215.425,480.527,179.239,677.31,0.0,0.0,486.544,474.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.871,309.755,386.108,313.718,271.639,327.903,416.248,335.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,301.741,329.929,311.85,442.413,199.379,440.371,0.0,0.0,0.0,0.0,428.328,444.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.652,309.712,327.956,303.792,249.513,321.843,361.949,311.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,301.748,329.923,311.843,442.414,199.377,440.367,0.0,0.0,0.0,0.0,428.321,444.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.671,309.709,329.783,303.805,249.511,321.831,361.953,311.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,301.765,329.924,311.851,442.414,201.281,440.358,0.0,0.0,0.0,0.0,428.333,444.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.684,309.713,329.781,303.791,249.534,321.846,361.958,311.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,301.756,329.921,311.845,442.406,199.389,440.363,0.0,0.0,0.0,0.0,428.327,444.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.674,309.712,327.959,303.766,249.532,323.8,361.965,313.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
